No.,Short Title,Tool Name,Website,Description,Region or Habitat ,"Spatial scale: Stand, Project, Fireshed, Region",Deprecated,Decision Phase,Decision Step,Decision Task ,Secondary Classif: Decision Stage,Secondary Classif: Step,Secondary Classif: Task,Citation ,Full Citation ,Secondary internet location,Developer/ Credits,How applied?,Tool Development Opportunities,Related Publications - 1,Related Publications - 2,Related Publications - 3,Related Publications - 4,Notes
11,Choosing CC Scenarios,Climate Impacts Group: Choosing and using climate change scenarios for ecological impacts assessments and conservation decisions,https://doi.org/10.1111/cobi.12163,"Guidelines for selecting climate change scenarios in ecological impacts assessments and conservation decisions. Addresses the problem of uncertainty: With the current proliferation of climate simulations and downscaling methods, scientifically credible strategies for selecting a subset for analysis and decision making are needed. ","Any region, guidelines are not geographically specific.","Stand, Project, Fireshed",No,Restore & Adapt,Engage,Engagement - Facilitate Tools ,n/a,n/a,n/a,Snover et al. 2013,"Snover AK, Mantua NJ, Littell JS, Alexander MA, McClure M, Nye J (2013) Choosing and using climate change scenarios for ecological impacts assessments and conservation decisions. Conservation Biology 27(6): 1147-1157. https://doi.org/10.1111/cobi.12163",https://cig.uw.edu/publications/choosing-and-using-climate-change-scenarios-for-ecological-impacts-assessments-and-conservation-decisions/ ,"Snover, A.K., Mantua, N.J., Littell, J.S., Alexander, M.A., McClure, M., Nye, J, Climate Impacts Group, University of Washington.",Guides ecological impact assessment and natural resource management by selecting climate-change scenarios to evaluate species and ecosystem responses and support uncertainty-informed climate adaptation and management decisions.,,n/a,n/a,n/a,n/a,n/a
12,Clim Futures Toolbox,Climate Futures Toolbox,https://doi.org/10.5281/zenodo.7144863,Open source software package using GitHub: Provides easy access to climate data to support climate scenario planning. Enables users to navigate barriers of big data.,"Focussed on continental U.S., tool is not geographically specific.",Region,No,Restore & Adapt,Plan,Predict / Project / Scenario,Restore & Adapt ,Assess,Information: Database & Mapping,Tuff et al. 2022,"Tuff T, Collins M, Williams T, Joseph M, Stavros N, Verleye E (2022). Climate Futures Toolbox (1.0.0). Zenodo. https://doi.org/10.5281/zenodo.7144863",n/a,"Tuff, T., Collins, M., Williams, T.,  Joseph, M., Stavros, N., Verleye, E., Earth Lab, University of Colorado Boulder",Supports climate scenario planning.,,n/a,n/a,n/a,n/a,n/a
13,Climate BC/WNA/NA,Climate BC/WNA/NA,https://cfcg.forestry.ubc.ca/projects/climate-data/climatebcwna/,A program to generate high-resolution climate data for climate change studies and applications in British Columbia and western North America.,"British Columbia, Canada and western North America","Stand, Project, Fireshed",No,Restore & Adapt,Assess,Information: Database & Mapping,Restore & Adapt ,Plan,Information: Database & Mapping,Wang et al. 2016,"Wang T, Hamann A, Spittlehouse D, Carroll C (2016) Locally Downscaled and Spatially Customizable Climate Data for Historical and Future Periods for North America. PLoS ONE 11(6): e0156720. doi:10.1371/journal.pone.0156720",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0156720,"Tongli Wang, Andreas Hamann, D. Spittlehouse, and Sally Aitken, Center for Forest Conservation and Genetics, University of British Columbia",Provides site-specific climate and climate change projections that can be used to assess future changes in temperatures and precipitation and inform forest management and adaptation planning.,,"“ClimateBC; modeling climates in BC forest ecosystems“, Forest Genetics Council Annual Report 2011-2012 (see page 14 in the PDF report). http://www.fgcouncil.bc.ca/FGC-AnnualReport-1112-12Dec2012-web.pdf ","Wang, T., Hamann, A., Spittlehouse, D., and Murdock, T. N. 2012. ClimateWNA – High-resolution spatial climate data for western North America. Journal of Applied Meteorology and Climatology 61: 16-29.","Wang, T., Hamann, A., Spittlehouse, D., and Aitken, S. N. 2006. Development of scale-free climate data for western Canada for use in resource management.. International Journal of Climatology 26: 383-397.",,n/a
14,Climate Change Scenarios,Climate Impacts Group: Climate Change Scenarios,https://doi.org/10.7915/CIG5S757F,PNW-Specific Climate Forecasts.,Pacific Northwest,Region,No,Restore & Adapt,Assess,Information: Database & Mapping,n/a,n/a,n/a,Mote et al. 2008,"Mote PW, Salathé EP, Duliere V, Jump E (2008) Scenarios of Future Climate Change for the Pacific Northwest. Climate Impacts Group, Center for Science in the Earth System, Joint Institute for the Study of the Atmosphere and Oceans, University of Washington. https://doi.org/10.7915/CIG5S757F",https://cig.uw.edu/publications/scenarios-of-future-climate-change-for-the-pacific-northwest/,"Mote, P.W., Salathé, E.P., Dulire, V., Jump, E. Climate Impacts Group, University of Washington.",Informs climate adaptation planning by assesing projected temperature and precipitation trends.,,n/a,n/a,n/a,n/a,n/a
15,Climate Mapper,Climate Mapper,https://climatetoolbox.org/tool/climate-mapper,Localize climate data (historic data and future projections).,United States. Can select Area of Interest anywhere in the U.S.,"Stand, Project, Fireshed",No,Restore & Adapt,Assess,Information: Database & Mapping,Restore & Adapt ,Plan,Information: Database & Mapping,Hegewisch et al. 2024,"Hegewisch KC, Abatzoglou JT, Chegwidden O, Nijssen B (2024) Climate mapper web tool. Climate Toolbox, pp.13-23. https://climatetoolbox.org/",n/a,University of California Merced,"Used to visualize historical and future climate conditions to asses climate trends and support climate adaptation planning for forest, restoration, fire danger, and management decisions.",,n/a,n/a,n/a,n/a,n/a
16,Climate Toolbox,Climate Toolbox,https://climatetoolbox.org/,A collection of tools that provide maps and graphs of climate and hydrology data so there is no need to download or process the data yourself to obtain the important information the data contain. ,U.S.,"Stand, Project, Fireshed",No,Restore & Adapt,Assess,Information: Database & Mapping,Restore & Adapt,Plan,Information: Database & Mapping,www,https://climatetoolbox.org/,n/a,University of California Merced,"Supports climate-informed management by providing a set of tools used to evaluate climate trends, assess exposure to climate stressors (e.g., drought, heat), and inform adaptation planning and management decisions across forest, agricultural, and landscape contexts.",,n/a,n/a,n/a,n/a,n/a
17,Climate Wizard,Climate Wizard,https://ccafs.cgiar.org/resources/tools/climate-wizard,Visualizing climate change impacts on map. Interactive and accessible to both technical and non-technical audience.,Anywhere on Earth,"Fireshed, Region",Yes,Restore & Adapt,Plan,Information: Database & Mapping,n/a,n/a,n/a,www,http://www.climatewizard.org/,n/a,The Nature Conservancy,"Used to explore historical and projected temperature and precipitation patterns, visulaize climate change scenarios, and support climate adaptation planning decisions.",,n/a,n/a,n/a,n/a,n/a
18,ClimReforest Toolkit,Climate-Wise Reforestation Toolkit (California),https://climate-wise.shinyapps.io/reforest_toolkit/,Reforestation guidance for California following drought and fire tree mortality.,California,"Stand, Project",No,Restore & Adapt,Plan,Information: Database & Mapping,Restore & Adapt,Implement,Information: Database & Mapping,www,https://climate-wise.shinyapps.io/reforest_toolkit/,https://www.climatehubs.usda.gov/hubs/california/tools/climate-wise-reforestation-toolkit,"Z. Steel, M. Meyer, A. Wuenschel, S. Ostoja, and M. North, USFS","Used to prioritize reforestationareas, assess post-drought stand conditions, and guide species selection and planting startegies for climate-adapted forest management.",,n/a,n/a,n/a,n/a,n/a
19,CNS,"Conserving Nature's Stage: Identifying resilient terrestrial landscapes in the Pacific Northwest
",https://databasin.org/galleries/e41a3ea84e78463bbf9f03ce2f8e9205/,Landscape resilience: goal was to identify sites in the Pacific Northwest which best allow for adaptive responses by terrestrial animal species and vegetation communities to a changing climate. ,"Pacific Northwestn (broadly applied): WA, OR, parts of MT, CA",Fireshed,No,Restore & Adapt,Plan,Information: Database & Mapping,Rehab,Plan,Information: Database & Mapping ,Buttrick et al. 2015,"Buttrick S, Popper K, Schindel M, McRae B, Unnasch B, Jones A, Platt J (2015) Conserving Nature’s Stage: Identifying Resilient Terrestrial Landscapes in the Pacific Northwest. The Nature Conservancy, Portland Oregon. 104 pp. http://nature.ly/resilienceNW",n/a,The Nature Conservancy,Supports conservation planning by identifying resilient lanscapes and conectivity pathways to prioritize protection and maintain biodiversity under climate change.,,"Buttrick, S., Popper, K. McRae, B., Unnasch, B., Schindel, M., Jones, A., & Platt, J. 2015. Conserving Nature's Stage: Identifying Resilient Terrestrial Landscapes in the Pacific Northwest. ","McRae, B., Popper, K., Jones, A., Schindel, M., Buttrick, S., Hall, K., Unnasch, R. & Platt, J. 2016. Conserving Nature’s Stage: Mapping Omnidirectional Connectivity for Resilient Terrestrial Landscapes in the Pacific Northwest. 10.13140/RG.2.1.4158.6166. ",n/a,n/a,n/a
20,CSRT,Climate Smart Restoration Tool,https://climaterestorationtool.org/,Information on seed collection and transfer of native plants for current and future climates. Calculates and maps current and future seed transfer limits for plant species with or without genetic information using climate data generating from ClimateNA (Wang et al. 2016).,North America ,Project,No,Restore & Adapt,Plan,Information: Database & Mapping,n/a,n/a,n/a,Richardson et al. 2025,"Richardson BA, Milano ER, White L, Ishkarin K, Stevenson-Molnar N, Joseph G, Campbell EM, Saenz-Romero C (2025) Climate Smart Restoration Tool. https://climaterestorationtool.org ",n/a,"USFS, Oregon State University, Bureau of Land Management and the Conservation Biology Institute","Guides seed transfer and restoration planning by identifying climate analogs, evaluating species shifts, and selecting climate-adapted plant materials under future climate conditions.",,"Richardson, B. A., Rehfeldt, G. E., Sáenz-Romero, C., & Milano, E. R. (2024). A climate analog approach to evaluate seed transfer and vegetation transitions. Frontiers in Forests and Global Change, 7, 1325264. https://doi.org/10.3389/ffgc.2024.1325264 ",n/a,n/a,n/a,n/a
21,Data Basin,Data Basin,https://databasin.org/,"Data Basin is a science-based mapping and analysis platform that supports learning, research, and sustainable environmental stewardship. Data Basin compliles spatial data uploaded by members: spatial datasets, galleries, case studies, and collaboration groups. Data Basin integrates and synthesizes data about conservation, climate change, and natural resources across boundaries and organizations. ","Worldwide, including ""North Pacific Landscape"": AK, BC, WA, OR, CA, https://northpacificlcc.org/ ",Fireshed,No,Restore & Adapt,All,Catalogue / Library,n/a,n/a,n/a,www,https://databasin.org/,n/a,"Conservation Biology Institute, CBI","Provides spatial data used to identify priority conservation areas, assess climate vulnerability, evaluate connectivity, and support land protection, restoration and regional planning decicions.",,n/a,n/a,n/a,n/a,n/a
22,ESD-STM,USDA Ecological Site Description State-and-Transition Models,http://naes.unr.edu/resources/documents/MLRA/MLRA28.pdf,Literature resource describing ecological sites and state-and-transition models of vegetation change and disturbance response.,Great Basin region,"Stand, project",No,Restore & Adapt,All,Framework / Strategy / Approach,n/a,n/a,n/a,Stringham et al. 2015,"Stringham TK, Novak-Echenique P, Blackburn P, Coombs C, Snyder D, Wartgow A (2015) Final Report for USDA Ecological Site Description State-and-Transition Models, Major Land Resource Area 28A and 28B Nevada. University of Nevada Reno, Nevada Agricultural Research Report 2015-01. p. 1524. ",n/a,"Stringham et al., USDA Natural Resource Conservation Service, USDA Agricultural Research Service, USDI Bureau of Land Management and Eureka County, NV","Used to support rangeland assessment, restoration, and adaptive management by identifying vegetation states, evaluating disturbance responses and ecological thresholds, and guiding restoration actions needed to transition sites toward desired ecological conditions.",,n/a,n/a,n/a,n/a,n/a
23,FAC Net-Pathways,Fire Adapted Communities Pathways Tool,https://fireadapted.org/resource/fire-adapted-communities-pathways-tool/,"Tool helps communities identify a set of strategies which are tailored to their strengths and needs, and based on practices which have been successful in communities similar to theirs.",Not specified - anywhere,Project,No,Restore & Adapt,Engage,Engagement - Facilitate Tools ,n/a,n/a,n/a,www,https://fireadapted.org/,n/a,Fire Adapted Communities Learning Network and Dr. Travis Paveglio,An action guide to facilitate your next steps in improving community wildfire resilliancy.,Database on case studies and a map showing where this tool has been used.,"Travis B Paveglio, Annie Schmidt, Michelle Medley-Daniel, The Fire Adapted Communities Pathways Tool: Facilitating Social Learning and a Science of Practice, Journal of Forestry, Volume 122, Issue 2, March 2024, Pages 194–205, https://doi.org/10.1093/jofore/fvad044",n/a,n/a,n/a,n/a
24,FAC Net-Resc,Fire Adapted Communities Learning Network - Resources,https://fireadaptednetwork.org/resources/,"A library of resources and tools, organized by a framework on Fire Adapted Communities.","Worldwide, mostly focused on the U.S.",Project,No,Restore & Adapt,All,Catalogue / Library,Restore & Adapt,All,Framework / Strategy / Approach,www,https://fireadaptednetwork.org/resources/,n/a,Watershed Research and Training Center (developer) and Fire Adapted Communities Learning Network (site manager),"Supports wildfire resilience by providing tools, training, and collaborative networks to reduce wildfire risks, implement mitigation actions, and develop long-term fire-adapted community strategies.",,n/a,n/a,n/a,n/a,n/a
25,FFT,Fuel and Fire Tools (FFT),https://research.fs.usda.gov/pnw/products/dataandtools/fuel-and-fire-tools-fft,"Supports users in performing a variety of calculations related to fire behavior and emissions: Fuel and Fire Tools (FFT) is a software application that integrates several fire management tools, including the Fuel Characteristic Classification System (FCCS – version 4.0), Consume (version 5.0), Fire Emission Production Simulator (FEPS – version 2.0), Pile Calculator, and Digital Photo Series (DPS) into a single user interface.",U.S.,Project,No,Restore & Adapt,Plan,Predict / Project / Scenario,n/a,n/a,n/a,www,https://www.fs.usda.gov/research/pnw/products/dataandtools/tools/fuel-and-fire-tools-fft,n/a,"USFS, Pacific Northwest Research Station","Used to support fire and fuel planning by estimating fuelbed characteristics, carbon storage and emmisions, and fire behavior.",,n/a,n/a,n/a,n/a,n/a
26,FOFEM,First Order Fire Effects Model (FOFEM),https://research.fs.usda.gov/firelab/products/dataandtools/fofem/spatialfofem-fire-effects-model,"Immediate Fire Effects/Tree Mortality: a computer program for predicting tree mortality, fuel consumption, smoke production, and soil heating caused by prescribed fire or wildfire.","U.S., Pacific West, Interior West, North East, and South East",Stand,No,Emrg Stablz,Assess / Plan,Predict / Project / Scenario,n/a,n/a,n/a,www,"U.S. Forest Service, Missoula Fire Sciences Laboratory (2020) FOFEM fire effects model. https://research.fs.usda.gov/firelab/products/dataandtools/fofem/spatialfofem-fire-effects-model",n/a,"Missoula Fire Sciences Laboratory, Sharon M. Hood, USFS","Used to guide prescribed fire planning, estimate emissions, assess fire effects, and inform post-fire timber salvage and fuels management decisions.",,n/a,n/a,n/a,n/a,n/a
27,Forest Planner,Forest Planner,http://forestplanner.ecotrust.org/,"Forest management and scenario planning in Oregon and Washington. Visualize alternative management scenarios on user's lands and receive immediate feedback on how decisions might pay off (timber harvest, carbon sequestration, ecosystem services).",Oregon and Washington,Project,No,Restore & Adapt,Plan,Predict / Project / Scenario,n/a,n/a,n/a,www,http://forestplanner.ecotrust.org/,n/a,Ecotrust,"Supports forest planning by comparing management scenarios and evaluating treatment trade-offs, such as harvest and thinning, to inform long-term forest management decisions.",,n/a,n/a,n/a,n/a,n/a
28,Forest Stocking Levels ,Suggested Stocking Levels for Forest Stands in Northeastern Oregon and Southeastern Washington,https://www.fs.usda.gov/pnw/pubs/pnw_rn513.pdf,Guide for number of trees per acre and species to plant after harvest or fire based on forest type.,U.S. (and Canada),Stand,No,Restore & Adapt,Plan,Analyze & Prioritize,n/a,n/a,n/a,Cochran et al. 1993,"Cochran PH, Geist JM, Clemens DL, Clausnitzer RR, Powell DC (1993) Suggested stocking levels for forest stands in northeastern Oregon and southeastern Washington. Res. Note PNW-RN-513. Portland, OR: U.S. Department of Agriculture, Forest Service, Pacific Northwest Research Station. 26 p",https://research.fs.usda.gov/treesearch/25113,"USFS, typically writteen at the forest-level","Select stocking density based on management objectives. A forest returns after harvest, fire or other disturbancce.","Implement climate effects on forest demographic process (e.g., seedling survival) to better estimate stocking density under warmer, drier climates.",n/a,n/a,n/a,n/a,n/a
29,ForWarn III ,ForWarn III ,https://research.fs.usda.gov/srs/products/dataandtools/forwarn,"Satellite-Based Change Recognition and Tracking. ForWarn III is a satellite-based monitoring and assessment tool that provides a near-real-time national overview of potential forest disturbances to direct attention and resources to locations where forest behavior seems unusual or abnormal. The satellite imagery is interpreted and delivered through the web-based Forest Change Assessment Viewer, a tool that provides an 6, and 8-day coast-to-coast snapshot of the US landscape and produces geographically relevant maps. The tool is intended to complement and focus efforts of existing forest monitoring programs.","U.S., organized by U.S. state",Fireshed,Yes,Emrg Stablz,Monitor & Evaluate,Monitor & Evaluate,Rehab,Monitor & Evaluate,Monitor & Evaluate,www,https://forwarn.forestthreats.org/,n/a,"Eastern Forest Environmental Threat Assessment Center, USFS, Southern Research Station, Asheville, NC. https://forestthreats.org/",Detect and monitor forest disturbances and identify areas with unusual vegetation conditions to support rapid response.,,n/a,n/a,n/a,n/a,n/a
30,Future scenarios,Future scenarios - training manual for facilitators,https://www.cifor-icraf.org/publications/pdf_files/Books/Future_Scenarios.pdf,A manual that presents training for facilitators to lead participants in assessing the outcomes of alternative scenarios.,Not specified - anywhere,Project,No,Restore & Adapt,Engage,Engagement - Facilitate Tools ,n/a,n/a,n/a,Nemarundwe et al. 2003,"Nemarundwe N, Jong W, Cronkleton P (2003) Future Scenarios as an instrument for forest management. Center for International Forestry Research. ",n/a,Center for International Forestry Research,"Support planning and training by using scenario methods to help managers and stakeholders define objectives, identify constrains, and develop strategies for managing uncertainty in future forest management projects.",,n/a,n/a,n/a,n/a,n/a
31,FVS,Forest Vegetation Simulator,https://www.fs.usda.gov/fvs/,"A suite of software programs, specifically a forest growth simulation model that predits how forest vegetation will change in response to natural succession, disturbances, proposed management actions, and how such changes affect ecosystem values.",Not specified,"Stand, Project",No,Restore & Adapt,Plan,Predict / Project / Scenario,n/a,n/a,n/a,Dixon 2002,"Dixon GE (2002) Essential FVS: A user’s guide to the Forest Vegetation Simulator. Internal Rep. Fort Collins, CO: U. S. Department of Agriculture, Forest Service, Forest Management Service Center. 240p.",n/a,USFS,Simulate forest growth and disturbance effects to support forest planning.,,n/a,n/a,n/a,n/a,n/a
32,HEM tool,Human Ecology Mapping Tool,https://research.fs.usda.gov/pnw/products/dataandtools/human-ecology-mapping-tool,Compilation of projects that introduce users to Human Ecology Mapping: the practice of mapping social characteristics of ecosystems.,Pacific Northwest,"Project, Fireshed",No,Restore & Adapt,Engage,Engagement - Data Tools,n/a,n/a,n/a,www,"U.S. Forest Service, Pacific Northwest Research Station (2016) Human Ecology Mapping Tool. https://research.fs.usda.gov/pnw/products/dataandtools/human-ecology-mapping-tool.",n/a,"USFS, USDA","Provides support for forest and rangeland planning by engaging the public in collaboative mapping to capture human values and uses, informing decisions such as forest plan revisions, recreation planning and ecossystem service trade-offs.",,n/a,n/a,n/a,n/a,n/a
33,HillslopeTRT,Post-Fire Hillslope Treatment Assessment,https://forest.moscowfsl.wsu.edu/BAERTOOLS/HillslopeTrt/SummaryTable.pdf,"A synthesis, summary, and descision chart of post-fire hillslope treatment effectiveness ",U.S.,"Project, Fireshed",No,Emrg Stablz,Assess / Plan,Analyze & Prioritize,n/a,n/a,n/a,Robichaud et al. 2010,"Robichaud P.R., Ashmun L.E. Sims B.D. (2010). Post-fire treatment effectiveness for hillslope stabilization. Gen Tech. Rep. RMRS-GTR-240. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 62 p. ",n/a,Robchaud et al. 2010,Summary chart and website that guides user through post-fire hillslope stabilization treatment effectiveness,,n/a,n/a,n/a,n/a,n/a
